total_bill,tip,sex,smoker,day,time,size,tips_label
17.31,3.5,Female,No,Sun,Dinner,2,1
24.27,2.03,Male,Yes,Sat,Dinner,2,0
13.39,2.61,Female,No,Sun,Dinner,2,0
11.17,1.5,Female,No,Thur,Lunch,2,0
15.98,2.03,Male,No,Thur,Lunch,2,0
19.49,3.51,Male,No,Sun,Dinner,2,1
13.03,2.0,Male,No,Thur,Lunch,2,0
16.21,2.0,Female,No,Sun,Dinner,3,0
9.6,4.0,Female,Yes,Sun,Dinner,2,1
16.27,2.5,Female,Yes,Fri,Lunch,2,0
15.69,3.0,Male,Yes,Sat,Dinner,3,1
19.77,2.0,Male,No,Sun,Dinner,4,0
12.03,1.5,Male,Yes,Fri,Dinner,2,0
34.3,6.7,Male,No,Thur,Lunch,6,1
28.44,2.56,Male,Yes,Thur,Lunch,2,0
20.23,2.01,Male,No,Sat,Dinner,2,0
24.08,2.92,Female,No,Thur,Lunch,4,0
15.01,2.09,Male,Yes,Sat,Dinner,2,0
24.55,2.0,Male,No,Sun,Dinner,4,0
16.58,4.0,Male,Yes,Thur,Lunch,2,1
20.92,4.08,Female,No,Sat,Dinner,2,1
14.31,4.0,Female,Yes,Sat,Dinner,2,1
15.69,1.5,Male,Yes,Sun,Dinner,2,0
17.29,2.71,Male,No,Thur,Lunch,2,0
19.65,3.0,Female,No,Sat,Dinner,2,1
11.69,2.31,Male,No,Thur,Lunch,2,0
25.71,4.0,Female,No,Sun,Dinner,3,1
17.82,1.75,Male,No,Sat,Dinner,2,0
25.29,4.71,Male,No,Sun,Dinner,4,1
38.01,3.0,Male,Yes,Sat,Dinner,4,1
12.48,2.52,Female,No,Thur,Lunch,2,0
11.87,1.63,Female,No,Thur,Lunch,2,0
20.45,3.0,Male,No,Sat,Dinner,4,1
20.08,3.15,Male,No,Sat,Dinner,3,1
10.59,1.61,Female,Yes,Sat,Dinner,2,0
38.73,3.0,Male,Yes,Sat,Dinner,4,1
16.43,2.3,Female,No,Thur,Lunch,2,0
18.35,2.5,Male,No,Sat,Dinner,4,0
15.42,1.57,Male,No,Sun,Dinner,2,0
24.06,3.6,Male,No,Sat,Dinner,3,1
21.7,4.3,Male,No,Sat,Dinner,2,1
13.94,3.06,Male,No,Sun,Dinner,2,1
15.38,3.0,Female,Yes,Fri,Dinner,2,1
29.8,4.2,Female,No,Thur,Lunch,6,1
17.89,2.0,Male,Yes,Sun,Dinner,2,0
10.29,2.6,Female,No,Sun,Dinner,2,0
40.17,4.73,Male,Yes,Fri,Dinner,4,1
13.16,2.75,Female,No,Thur,Lunch,2,0
15.48,2.02,Male,Yes,Thur,Lunch,2,0
17.92,3.08,Male,Yes,Sat,Dinner,2,1
17.46,2.54,Male,No,Sun,Dinner,2,0
43.11,5.0,Female,Yes,Thur,Lunch,4,1
9.78,1.73,Male,No,Thur,Lunch,2,0
22.76,3.0,Male,No,Thur,Lunch,2,1
27.05,5.0,Female,No,Thur,Lunch,6,1
13.37,2.0,Male,No,Sat,Dinner,2,0
10.07,1.25,Male,No,Sat,Dinner,2,0
16.49,2.0,Male,No,Sun,Dinner,4,0
45.35,3.5,Male,Yes,Sun,Dinner,3,1
13.51,2.0,Male,Yes,Thur,Lunch,2,0
16.99,1.01,Female,No,Sun,Dinner,2,0
21.01,3.5,Male,No,Sun,Dinner,3,1
27.2,4.0,Male,No,Thur,Lunch,4,1
22.23,5.0,Male,No,Sun,Dinner,2,1
11.35,2.5,Female,Yes,Fri,Dinner,2,0
15.53,3.0,Male,Yes,Sat,Dinner,2,1
18.64,1.36,Female,No,Thur,Lunch,3,0
31.85,3.18,Male,Yes,Sun,Dinner,2,1
28.97,3.0,Male,Yes,Fri,Dinner,2,1
34.83,5.17,Female,No,Thur,Lunch,4,1
26.59,3.41,Male,Yes,Sat,Dinner,3,1
13.27,2.5,Female,Yes,Sat,Dinner,2,0
21.01,3.0,Male,Yes,Fri,Dinner,2,1
16.31,2.0,Male,No,Sat,Dinner,3,0
41.19,5.0,Male,No,Thur,Lunch,5,1
13.81,2.0,Male,Yes,Sat,Dinner,2,0
15.77,2.23,Female,No,Sat,Dinner,2,0
12.43,1.8,Female,No,Thur,Lunch,2,0
30.14,3.09,Female,Yes,Sat,Dinner,4,1
10.33,2.0,Female,No,Thur,Lunch,2,0
35.26,5.0,Female,No,Sun,Dinner,4,1
35.83,4.67,Female,No,Sat,Dinner,3,1
